,loan_id,user_id,total_loan,year_of_loan,interest,monthly_payment,class,employer_type,industry,work_year,house_exist,censor_status,issue_date,use,post_code,region,debt_loan_ratio,del_in_18month,scoring_low,scoring_high,known_outstanding_loan,known_dero,pub_dero_bankrup,recircle_b,recircle_u,initial_list_status,app_type,earlies_credit_mon,title,policy_code,f0,f1,f2,f3,f4,early_return,early_return_amount,early_return_amount_3mon,isDefault
6429,1031851,231851,3927.272727,3,21.989,178.37,D,世界五百强,住宿和餐饮业,10+ years,0,0,2016/8/1,9,74,30,33.80727273,0,695.0,868.75,13,0,0.0,43962.15385,113.1923077,0,0,1-Aug,10,1,6.0,0.0,10.0,8.0,6.0,0,0,0.0,0
6430,1027625,227625,15454.54545,3,10.087,541.95,B,普通企业,采矿业,8 years,0,0,2015/10/1,0,197,4,17.94545455,0,695.0,868.75,16,0,0.0,11274.23077,40.92307692,1,0,Sep-95,0,1,9.0,,9.0,12.0,10.0,0,0,0.0,0
6432,1037989,237989,14000.0,5,17.57,352.25,D,普通企业,交通运输、仓储和邮政业,10+ years,0,2,2015/10/1,0,792,13,18.45454545,3,720.0,780.0,15,0,0.0,11944.61538,80.12307692,0,0,Aug-95,0,1,7.0,0.0,16.0,23.0,8.0,4,5262,1052.4,0
6434,1044055,244055,8856.818182,3,6.49,331.73,A,普通企业,住宿和餐饮业,< 1 year,1,0,2016/4/1,4,160,4,23.44,0,715.0,893.75,9,0,0.0,8614.0,32.73846154,0,0,Nov-88,4,1,4.0,0.0,15.0,13.0,13.0,1,174,17.4,0
6435,1007077,207077,5154.545455,3,15.27,219.23,C,上市企业,金融业,3 years,0,0,2012/2/1,4,197,4,8.97,3,670.0,837.5,7,0,0.0,1535.0,71.83076923,1,0,Nov-90,234,1,,,,,,1,1335,400.5,0
6436,1042600,242600,32727.27273,3,7.35,1241.5,A,高等教育机构,建筑业,1 year,0,2,2017/10/1,4,58,17,20.06181818,0,585.0,731.25,10,1,0.0,19566.61538,34.7,0,0,Mar-98,4,1,6.0,0.0,1.0,10.0,5.0,0,0,0.0,0
6437,1048747,248747,7090.909091,3,14.07,205.27,C,政府机构,金融业,1 year,1,2,2018/3/1,0,35,14,19.54909091,0,568.6363636,710.7954545,4,0,0.0,704.3076923,31.1,0,0,10-Aug,0,1,1.0,0.0,12.0,4.0,1.0,3,216,64.8,0
6439,1028684,228684,12272.72727,5,9.93,318.19,B,幼教与中小学校,信息传输、软件和信息技术服务业,10+ years,1,0,2017/7/1,0,494,19,16.39,0,650.0,758.3333333,9,0,0.0,20962.0,66.92307692,0,0,4-Dec,0,1,7.0,0.0,4.0,9.0,6.0,5,4637,463.7,0
6440,1027485,227485,28636.36364,5,16.99,869.66,D,幼教与中小学校,文化和体育业,8 years,1,1,2014/6/1,0,143,8,18.51,0,736.3636364,797.7272727,13,0,0.0,24168.46154,45.98461538,1,0,7-Mar,0,1,9.0,0.0,5.0,15.0,8.0,0,0,0.0,0
6441,1024211,224211,6725.0,3,17.86,242.66,D,政府机构,金融业,< 1 year,1,2,2015/4/1,5,622,7,16.96363636,0,604.5454545,755.6818182,6,0,0.0,10133.07692,74.41538462,1,0,3-Jul,6,1,3.0,0.0,5.0,5.0,4.0,0,92,9.2,0
6442,1030105,230105,10000.0,3,10.384,320.05,B,普通企业,农、林、牧、渔业,9 years,0,0,2017/12/1,0,557,7,14.67818182,0,589.0909091,687.2727273,8,0,0.0,10961.53846,30.46153846,1,0,7-Jan,0,1,5.0,0.0,7.0,6.0,5.0,3,1686,337.2,0
6445,1023935,223935,12000.0,5,13.44,275.75,C,政府机构,金融业,< 1 year,1,1,2016/1/1,0,390,13,10.68,0,572.7272727,668.1818182,15,1,0.0,7685.538462,41.76923077,0,0,4-Oct,0,1,5.0,0.0,9.0,20.0,12.0,0,0,0.0,0
6448,1046711,246711,9900.0,3,16.14,348.74,C,政府机构,交通运输、仓储和邮政业,7 years,0,1,2018/7/1,4,166,8,39.22,0,741.8181818,865.4545455,14,0,0.0,110611.1538,68.9,0,0,5-Jun,4,1,9.0,0.0,9.0,15.0,9.0,0,0,0.0,0
6449,1027476,227476,18159.09091,3,14.31,685.71,C,普通企业,公共服务、社会组织,,1,2,2015/2/1,4,141,13,13.76363636,0,585.0,633.75,19,1,1.0,24113.07692,33.16923077,0,0,Apr-93,4,1,8.0,0.0,3.0,23.0,16.0,0,0,0.0,0
6451,1016920,216920,16363.63636,3,8.253,637.58,B,普通企业,公共服务、社会组织,,1,2,2015/5/1,4,744,11,27.00909091,1,548.1818182,639.5454545,10,1,0.0,39121.15385,80.0,1,0,Jul-93,4,1,8.0,0.0,19.0,18.0,12.0,0,0,0.0,0
6452,1045631,245631,9090.909091,5,12.69,225.95,C,政府机构,信息传输、软件和信息技术服务业,5 years,0,0,2015/8/1,0,585,27,20.29090909,1,560.4545455,700.5681818,10,0,0.0,11140.76923,74.4,0,0,4-Aug,0,1,2.0,0.0,9.0,8.0,4.0,0,0,0.0,0
6455,1002689,202689,26000.0,5,24.365,609.5,E,普通企业,建筑业,,0,2,2014/8/1,1,92,18,5.195454545,1,630.0,735.0,13,0,0.0,311.0,1.076923077,0,0,Jul-70,1,1,2.0,0.0,7.0,27.0,8.0,0,0,0.0,0
6458,1045319,245319,9163.636364,3,12.837,277.68,B,上市企业,电力、热力生产供应业,10+ years,0,0,2014/7/1,0,35,14,3.172727273,1,741.8181818,927.2727273,5,0,0.0,4435.846154,37.8,0,0,1-Mar,0,1,3.0,0.0,4.0,6.0,4.0,0,0,0.0,0
6459,1044896,244896,28625.0,3,11.176,925.81,B,普通企业,建筑业,8 years,1,2,2013/1/1,4,370,13,21.02,0,627.2727273,679.5454545,32,0,0.0,43584.92308,70.86153846,1,0,Feb-99,4,1,15.0,0.0,4.0,57.0,35.0,0,0,0.0,0
6460,1033934,233934,10909.09091,5,13.545,285.8,C,普通企业,金融业,4 years,0,2,2017/5/1,5,405,2,16.30636364,0,636.3636364,689.3939394,11,0,0.0,23263.84615,120.6153846,0,0,2-Sep,6,1,2.0,0.0,14.0,11.0,10.0,0,0,0.0,0
6461,1026857,226857,26181.81818,3,7.89,750.86,A,普通企业,房地产业,4 years,1,2,2015/7/1,0,157,8,0.981818182,0,829.0909091,898.1818182,4,0,0.0,1525.0,8.076923077,1,0,9-Sep,0,1,3.0,0.0,1.0,4.0,3.0,0,0,0.0,0
6463,1028359,228359,23636.36364,5,16.99,496.95,D,普通企业,公共服务、社会组织,1 year,0,1,2016/7/1,0,340,14,12.37090909,0,730.9090909,852.7272727,17,0,0.0,8056.461538,42.21538462,0,0,6-Sep,0,1,6.0,0.0,13.0,8.0,3.0,0,0,0.0,0
6464,1037481,237481,14654.54545,3,7.777,383.28,A,政府机构,建筑业,5 years,1,0,2017/8/1,0,225,18,14.26,0,745.0,807.0833333,31,0,0.0,10842.69231,11.81538462,0,0,4-Jun,0,1,4.0,0.0,42.0,10.0,7.0,0,0,0.0,0
6465,1025031,225031,26181.81818,3,10.087,1020.13,B,政府机构,住宿和餐饮业,1 year,0,2,2015/8/1,0,188,23,8.705454545,0,568.6363636,710.7954545,5,0,0.0,3670.153846,67.5,1,0,Jan-96,0,1,1.0,0.0,5.0,18.0,12.0,0,0,0.0,0
6466,1034577,234577,27272.72727,5,15.05,595.41,C,普通企业,制造业,3 years,0,0,2017/12/1,0,491,30,25.63636364,0,763.6363636,890.9090909,18,0,0.0,48122.30769,45.32307692,0,0,Aug-98,0,1,10.0,0.0,5.0,22.0,12.0,0,0,0.0,0
6467,1016016,216016,22036.36364,5,8.9,418.34,A,上市企业,住宿和餐饮业,5 years,0,2,2013/8/1,0,344,2,18.5,0,663.6363636,718.9393939,17,0,0.0,35408.07692,29.1,0,0,Nov-83,1619,1,8.0,0.0,10.0,16.0,14.0,0,0,0.0,0
6468,1028174,228174,11200.0,3,10.725,360.08,B,普通企业,制造业,2 years,1,0,2016/2/1,4,466,36,8.320909091,0,631.8181818,789.7727273,15,0,0.0,27478.15385,40.0,0,0,2-Oct,4,1,7.0,0.0,7.0,27.0,20.0,0,0,0.0,0
6469,1014733,214733,16363.63636,3,13.189,664.2,B,高等教育机构,电力、热力生产供应业,10+ years,1,0,2017/8/1,2,372,30,1.89,0,747.2727273,871.8181818,29,0,0.0,2361.230769,32.8,0,0,Oct-98,5,1,6.0,0.0,23.0,13.0,3.0,0,0,0.0,0
6470,1010521,210521,5454.545455,3,16.841,208.91,C,幼教与中小学校,批发和零售业,1 year,2,2,2013/7/1,0,164,20,23.34272727,0,670.0,725.8333333,5,0,0.0,3776.538462,42.55384615,0,0,Dec-00,0,1,2.0,0.0,5.0,18.0,11.0,0,0,0.0,0
6471,1030449,230449,5727.272727,3,15.939,240.92,C,政府机构,农、林、牧、渔业,10+ years,0,0,2014/8/1,0,544,20,18.10909091,0,544.0909091,589.4318182,13,1,1.0,3480.923077,42.9,0,0,Jan-95,0,1,3.0,0.0,15.0,17.0,10.0,0,0,0.0,0
6472,1023229,223229,6545.454545,3,11.99,199.26,B,高等教育机构,金融业,4 years,2,0,2018/2/1,5,552,0,10.26545455,0,544.0909091,589.4318182,4,0,0.0,8762.0,68.58461538,0,0,Sep-98,6,1,2.0,0.0,6.0,3.0,2.0,0,0,0.0,0
6473,1002604,202604,5400.0,3,14.049,188.81,D,普通企业,农、林、牧、渔业,,0,2,2015/5/1,0,97,12,13.12363636,0,568.6363636,616.0227273,6,2,0.0,12849.84615,94.96153846,1,0,1-Oct,0,1,4.0,0.0,2.0,4.0,4.0,0,0,0.0,1
6474,1018816,218816,8750.0,3,15.61,305.95,D,普通企业,采矿业,10+ years,1,2,2015/5/1,0,362,35,27.14,0,685.0,856.25,11,0,0.0,15218.0,87.8,1,0,1-Jul,0,1,6.0,0.0,70.0,13.0,6.0,0,0,0.0,0
6475,1029656,229656,35454.54545,5,11.511,679.38,C,政府机构,住宿和餐饮业,7 years,2,1,2016/9/1,3,19,14,11.68,1,645.4545455,699.2424242,11,0,0.0,8452.615385,32.4,0,0,6-Jan,3,1,2.0,0.0,9.0,18.0,5.0,0,0,0.0,0
6477,1046815,246815,10909.09091,3,6.651,310.56,A,政府机构,信息传输、软件和信息技术服务业,,0,0,2016/2/1,0,512,21,10.5,0,631.8181818,737.1212121,13,0,0.0,9018.0,12.11538462,0,0,Jul-84,0,1,7.0,0.0,0.0,19.0,10.0,0,2929,0.0,0
6478,1006979,206979,9090.909091,3,7.667,308.64,A,普通企业,交通运输、仓储和邮政业,5 years,0,0,2016/4/1,0,282,7,24.7,0,758.1818182,947.7272727,7,0,0.0,25188.0,90.23076923,0,0,Aug-00,0,1,4.0,0.0,10.0,10.0,8.0,0,0,0.0,0
6481,1039476,239476,9454.545455,3,14.498,270.25,C,政府机构,公共服务、社会组织,6 years,1,1,2015/11/1,0,460,27,25.30909091,0,730.9090909,852.7272727,11,0,0.0,4831.0,33.23076923,1,0,Dec-91,0,1,5.0,0.0,6.0,21.0,12.0,3,823,164.6,0
6482,1000821,200821,27300.0,5,27.801,898.23,G,政府机构,金融业,< 1 year,0,1,2017/6/1,0,70,32,25.73636364,0,747.2727273,809.5454545,24,0,0.0,34805.53846,61.75384615,0,0,1-Aug,0,1,10.0,0.0,34.0,15.0,9.0,0,0,0.0,0
6483,1016015,216015,7272.727273,3,16.99,285.19,D,普通企业,建筑业,2 years,2,2,2015/8/1,0,96,17,28.4,1,548.1818182,639.5454545,11,0,0.0,6801.846154,50.50769231,1,0,6-May,0,1,6.0,0.0,2.0,13.0,6.0,3,1540,154.0,0
6484,1046832,246832,31818.18182,5,21.06,994.73,E,普通企业,住宿和餐饮业,6 years,2,2,2013/12/1,0,566,30,27.77,0,665.0,775.8333333,13,0,0.0,29367.69231,68.2,1,0,1-Dec,38,1,7.0,0.0,13.0,20.0,15.0,4,13835,2767.0,0
6486,1020985,220985,4363.636364,3,12.639,158.27,B,普通企业,交通运输、仓储和邮政业,2 years,1,0,2017/4/1,4,386,19,20.32363636,0,650.0,758.3333333,17,0,0.0,13739.0,61.5,0,0,5-Oct,4,1,5.0,0.0,13.0,8.0,4.0,0,840,0.0,0
6488,1014461,214461,44465.90909,5,16.99,934.88,D,政府机构,采矿业,10+ years,0,2,2016/7/1,0,135,33,22.85181818,0,650.0,758.3333333,16,0,0.0,28141.0,48.3,0,0,Apr-00,0,1,8.0,0.0,9.0,18.0,10.0,4,8534,2560.2,0
6489,1017429,217429,1000.0,3,12.001,32.7,B,政府机构,文化和体育业,10+ years,0,2,2017/8/1,5,58,17,25.66,0,560.4545455,607.1590909,8,0,0.0,7605.230769,43.75384615,0,0,Mar-00,6,1,3.0,0.0,10.0,9.0,3.0,3,259,0.0,0
6490,1028870,228870,3950.0,3,18.81,141.03,C,幼教与中小学校,公共服务、社会组织,8 years,1,2,2013/11/1,9,197,4,21.30545455,0,600.0,700.0,7,0,0.0,18524.0,101.7692308,0,0,Jan-00,10,1,5.0,0.0,7.0,8.0,6.0,3,1644,164.4,0
6492,1038181,238181,19854.54545,3,5.852,505.93,A,世界五百强,文化和体育业,< 1 year,2,1,2015/10/1,4,757,15,11.34818182,0,695.0,752.9166667,11,2,0.0,19982.76923,50.50769231,0,0,Mar-88,4,1,7.0,0.0,3.0,14.0,8.0,1,4613,461.3,1
6493,1020131,220131,2375.0,3,21.109,87.29,E,普通企业,批发和零售业,10+ years,1,2,2015/9/1,5,246,36,19.58,1,680.0,850.0,8,0,0.0,1552.615385,31.23076923,1,0,Nov-93,6,1,5.0,1.0,7.0,5.0,3.0,0,0,0.0,0
6494,1018375,218375,8181.818182,3,11.67,330.57,B,普通企业,公共服务、社会组织,5 years,0,1,2014/7/1,0,324,10,22.61454545,2,544.0909091,634.7727273,13,0,0.0,8446.153846,34.43076923,0,0,Jan-89,0,1,8.0,0.0,10.0,18.0,12.0,3,2142,428.4,0
6496,1037938,237938,18181.81818,5,14.685,458.66,C,世界五百强,公共服务、社会组织,< 1 year,2,1,2014/7/1,0,509,0,22.01454545,0,790.9090909,856.8181818,15,0,0.0,18498.46154,54.73846154,0,0,Nov-90,0,1,6.0,0.0,10.0,24.0,19.0,5,4652,465.2,0
6497,1010455,210455,8181.818182,5,17.991,264.89,D,政府机构,电力、热力生产供应业,10+ years,0,2,2016/12/1,0,13,10,20.28,0,568.6363636,616.0227273,8,1,1.0,3756.0,52.8,0,0,2-Aug,0,1,4.0,0.0,8.0,5.0,3.0,3,4027,805.4,0
6498,1012721,212721,15000.0,3,5.32,451.73,A,普通企业,文化和体育业,,2,0,2015/12/1,4,528,22,14.94,0,796.3636364,862.7272727,11,1,0.0,14889.23077,36.5,1,0,Feb-76,4,1,3.0,0.0,6.0,28.0,19.0,2,3669,733.8,0
6499,1011774,211774,16634.09091,3,21.989,523.01,D,政府机构,采矿业,,1,2,2016/5/1,0,84,19,17.17363636,0,560.4545455,700.5681818,10,0,0.0,8949.230769,36.6,1,0,6-Nov,0,1,8.0,0.0,11.0,9.0,8.0,3,5583,1116.6,0
6500,1042828,242828,17727.27273,5,7.88,193.6,A,普通企业,金融业,9 years,0,1,2010/5/1,2,414,0,4.690909091,0,785.0,981.25,11,0,0.0,1530.0,1.3,1,0,Sep-96,14607,1,,,,,,4,4803,960.6,0
6501,1017902,217902,5454.545455,3,11.53,197.95,B,政府机构,批发和零售业,10+ years,1,2,2015/9/1,0,412,13,22.29818182,0,796.3636364,862.7272727,15,0,0.0,24268.84615,94.84615385,1,0,May-95,0,1,13.0,0.0,1.0,20.0,13.0,1,2282,456.4,0
6502,1023419,223419,28636.36364,5,19.536,884.21,D,高等教育机构,电力、热力生产供应业,7 years,1,2,2013/10/1,0,177,26,30.08,3,752.7272727,815.4545455,14,0,0.0,37626.61538,53.63076923,1,0,Feb-00,0,1,6.0,0.0,9.0,11.0,9.0,0,0,0.0,0
6503,1001284,201284,26959.09091,5,18.205,810.95,D,幼教与中小学校,信息传输、软件和信息技术服务业,7 years,1,2,2015/3/1,0,19,14,26.8,0,665.0,775.8333333,12,0,0.0,49807.69231,103.6153846,1,0,3-Jul,0,1,11.0,0.0,0.0,12.0,11.0,0,14940,4482.0,0
6504,1011415,211415,5909.090909,3,9.891,212.78,B,普通企业,采矿业,6 years,1,0,2014/7/1,0,668,9,23.99727273,0,631.8181818,737.1212121,8,0,0.0,8630.461538,44.8,1,0,7-Sep,0,1,5.0,0.0,4.0,8.0,4.0,3,1707,512.1,0
6506,1030788,230788,8400.0,3,12.303,261.94,C,普通企业,金融业,< 1 year,0,1,2015/11/1,0,212,7,20.52,1,680.0,793.3333333,10,0,0.0,578.0769231,4.246153846,1,0,5-Jun,0,1,3.0,0.0,4.0,12.0,9.0,3,499,0.0,0
6507,1007230,207230,21818.18182,3,13.11,674.94,B,政府机构,金融业,3 years,1,2,2012/4/1,3,123,12,14.70545455,0,631.8181818,737.1212121,7,0,0.0,25335.69231,78.7,1,0,3-Oct,59617,1,,,,,,1,9835,2950.5,0
6508,1018653,218653,24000.0,5,12.582,511.68,C,政府机构,建筑业,< 1 year,0,1,2014/8/1,0,17,13,6.063636364,1,736.3636364,797.7272727,6,0,0.0,25497.23077,92.8,0,0,Apr-98,0,1,3.0,0.0,3.0,13.0,8.0,1,8225,0.0,0
6509,1025741,225741,10000.0,5,15.05,238.17,C,普通企业,公共服务、社会组织,5 years,0,1,2018/2/1,0,188,23,18.68727273,0,631.8181818,789.7727273,6,1,1.0,6911.692308,51.11538462,0,0,6-Oct,0,1,2.0,0.0,11.0,4.0,2.0,3,3684,0.0,0
6511,1004072,204072,2300.0,3,13.67,78.25,C,政府机构,电力、热力生产供应业,10+ years,0,2,2015/11/1,4,12,9,31.51,1,695.0,868.75,9,0,0.0,35212.15385,85.47692308,0,0,Jan-88,4,1,6.0,0.0,6.0,10.0,6.0,0,1073,214.6,0
6512,1014732,214732,4363.636364,3,11.44,131.79,B,高等教育机构,住宿和餐饮业,8 years,0,1,2015/1/1,2,203,30,28.53636364,0,572.7272727,620.4545455,16,0,0.0,31600.15385,72.5,1,0,Aug-99,5,1,10.0,0.0,3.0,22.0,12.0,3,893,178.6,0
6514,1014729,214729,13350.0,5,21.692,351.62,D,世界五百强,信息传输、软件和信息技术服务业,9 years,0,2,2013/6/1,0,195,38,14.18,1,680.0,736.6666667,11,1,1.0,21020.46154,68.70769231,0,0,Jul-98,70,1,7.0,0.0,0.0,15.0,13.0,4,417,41.7,0
6515,1012499,212499,5625.0,3,10.251,226.36,B,政府机构,金融业,1 year,1,1,2017/4/1,0,33,22,22.25454545,0,769.0909091,897.2727273,12,1,1.0,7955.0,48.13846154,0,0,Apr-96,0,1,5.0,0.0,6.0,10.0,3.0,0,2061,412.2,0
6516,1045574,245574,1090.909091,3,10.395,33.0,B,政府机构,建筑业,10+ years,2,1,2018/7/1,3,146,23,16.38181818,1,763.6363636,890.9090909,11,0,0.0,7833.0,46.84615385,0,0,2-Nov,3,1,3.0,0.0,10.0,16.0,7.0,0,154,30.8,0
6517,1017920,217920,15393.18182,3,11.331,436.3,C,普通企业,电力、热力生产供应业,,1,2,2015/11/1,4,514,13,26.49090909,0,572.7272727,668.1818182,14,0,0.0,19903.69231,71.30769231,0,0,Mar-77,4,1,7.0,0.0,2.0,27.0,15.0,3,2341,234.1,0
6520,1027549,227549,16800.0,3,7.029,514.07,A,普通企业,国际组织,3 years,0,0,2015/5/1,4,496,27,23.20909091,0,812.7272727,948.1818182,9,0,0.0,27587.30769,66.0,1,0,Jul-94,4,1,2.0,0.0,8.0,6.0,4.0,0,67,13.4,0
6521,1039157,239157,2500.0,3,7.191,78.33,A,普通企业,信息传输、软件和信息技术服务业,9 years,1,0,2016/11/1,3,123,12,13.30909091,0,681.8181818,852.2727273,5,0,0.0,1951.384615,23.26153846,0,0,8-Jan,3,1,2.0,0.0,8.0,3.0,1.0,3,929,185.8,0
6522,1019541,219541,1309.090909,3,17.919,56.49,D,普通企业,采矿业,6 years,1,0,2014/6/1,0,160,4,19.60363636,0,544.0909091,680.1136364,10,0,0.0,3635.0,25.56923077,0,0,10-Jun,0,1,5.0,0.0,4.0,7.0,4.0,1,632,63.2,0
6524,1002671,202671,7209.090909,3,23.089,229.79,E,政府机构,国际组织,7 years,1,2,2015/10/1,0,502,7,20.73818182,1,600.0,700.0,10,0,0.0,5884.307692,47.5,0,0,11-Mar,0,1,8.0,0.0,1.0,11.0,5.0,0,0,0.0,0
6526,1023473,223473,20945.45455,3,11.241,642.22,B,政府机构,采矿业,3 years,0,0,2014/7/1,0,126,38,28.41818182,0,564.5454545,705.6818182,9,0,0.0,22475.0,76.4,0,0,Aug-94,0,1,7.0,0.0,2.0,13.0,9.0,3,8525,852.5,0
6527,1045755,245755,2363.636364,5,24.89,58.58,F,政府机构,公共服务、社会组织,3 years,2,2,2013/7/1,5,27,12,15.9,2,627.2727273,784.0909091,9,0,0.0,247.0,94.96153846,1,0,1-Apr,6,1,1.0,0.0,17.0,3.0,2.0,0,0,0.0,0
6528,1042273,242273,18181.81818,5,17.589,486.26,C,高等教育机构,采矿业,10+ years,0,2,2016/11/1,0,131,6,21.64090909,1,548.1818182,685.2272727,10,0,0.0,44632.0,66.92307692,0,0,Apr-99,0,1,6.0,0.0,6.0,14.0,7.0,2,1955,586.5,0
6530,1002324,202324,13090.90909,3,8.679,375.43,A,上市企业,农、林、牧、渔业,10+ years,0,1,2015/10/1,0,479,8,4.017272727,0,730.0,790.8333333,10,0,0.0,9199.615385,33.41538462,0,0,3-Aug,0,1,5.0,0.0,4.0,12.0,4.0,3,343,102.9,0
6531,1049762,249762,10909.09091,5,17.127,311.49,D,政府机构,采矿业,9 years,1,1,2017/8/1,0,113,22,25.51,0,544.0909091,634.7727273,13,0,0.0,6815.846154,94.84615385,0,0,12-Nov,0,1,6.0,0.0,5.0,10.0,4.0,4,1805,180.5,0
6532,1013184,213184,21363.63636,3,10.791,780.43,B,幼教与中小学校,房地产业,1 year,0,0,2014/5/1,0,71,9,23.21181818,1,725.4545455,785.9090909,17,0,0.0,16989.23077,93.26153846,0,0,1-Jul,0,1,5.0,0.0,37.0,10.0,5.0,1,5390,0.0,0
6533,1002933,202933,7050.0,3,12.99,237.51,B,世界五百强,交通运输、仓储和邮政业,10+ years,0,1,2014/2/1,0,598,14,25.65,0,763.6363636,890.9090909,6,0,0.0,9619.615385,41.7,1,0,2-Dec,0,1,3.0,0.0,7.0,9.0,4.0,0,2146,214.6,0
6535,1028676,228676,31818.18182,3,10.989,1129.19,B,政府机构,公共服务、社会组织,10+ years,0,1,2015/10/1,4,630,0,25.92,0,796.3636364,995.4545455,16,0,0.0,26652.69231,26.81538462,0,0,2-Sep,4,1,10.0,0.0,3.0,25.0,9.0,1,3406,0.0,0
6536,1020696,220696,20770.45455,3,20.99,662.05,E,政府机构,制造业,2 years,0,1,2014/7/1,0,643,45,16.92,1,548.1818182,593.8636364,13,0,0.0,8959.615385,31.01538462,1,0,3-Oct,0,1,5.0,0.0,7.0,11.0,4.0,2,461,0.0,0
6537,1017931,217931,2454.545455,3,17.919,105.91,C,普通企业,建筑业,10+ years,0,1,2013/5/1,5,188,23,8.451818182,1,568.6363636,710.7954545,12,2,0.0,10046.0,26.86153846,1,0,1-Sep,56,1,10.0,0.0,2.0,12.0,6.0,2,1132,113.2,1
6538,1047813,247813,6000.0,3,12.683,197.95,B,普通企业,住宿和餐饮业,6 years,1,0,2015/4/1,0,116,14,12.6,0,715.0,774.5833333,9,0,0.0,16382.30769,54.46153846,1,0,4-Sep,0,1,4.0,0.0,12.0,14.0,5.0,2,406,0.0,0
6539,1013496,213496,17454.54545,3,10.323,527.39,B,普通企业,文化和体育业,10+ years,2,2,2016/2/1,0,310,24,18.85909091,0,622.7272727,778.4090909,26,0,0.0,32427.23077,44.9,0,0,7-Apr,0,1,7.0,0.0,6.0,27.0,11.0,1,6388,1277.6,0
6540,1002098,202098,1890.909091,3,10.91,52.32,B,普通企业,信息传输、软件和信息技术服务业,10+ years,2,1,2017/11/1,2,262,37,4.974545455,0,645.4545455,753.030303,9,0,0.0,2846.0,29.6,1,0,1-Sep,5,1,1.0,0.0,13.0,4.0,2.0,0,659,0.0,0
6541,1039957,239957,22727.27273,3,11.53,824.76,B,普通企业,金融业,5 years,0,1,2015/5/1,1,111,8,4.21,0,763.6363636,827.2727273,7,0,0.0,4173.461538,18.1,1,0,Jul-95,1,1,3.0,0.0,4.0,9.0,3.0,0,5866,0.0,0
6542,1036284,236284,12727.27273,5,15.741,328.01,C,普通企业,房地产业,2 years,0,0,2015/1/1,0,63,14,6.992727273,0,636.3636364,795.4545455,5,0,0.0,6130.153846,90.18461538,0,0,6-Sep,0,1,2.0,0.0,3.0,2.0,2.0,0,0,0.0,0
6543,1038946,238946,16363.63636,3,14.49,516.25,C,普通企业,文化和体育业,10+ years,0,2,2014/7/1,0,234,42,34.57,0,564.5454545,705.6818182,12,0,0.0,38680.92308,113.1923077,1,0,Sep-00,0,1,5.0,0.0,39.0,8.0,5.0,1,1795,538.5,0
6544,1017715,217715,6136.363636,3,11.03,166.23,C,普通企业,电力、热力生产供应业,10+ years,1,0,2008/5/1,0,166,8,19.32,0,564.5454545,658.6363636,9,0,0.0,45354.23077,92.61538462,1,0,Oct-98,18148,1,,,,,,2,103,0.0,0
6545,1040454,240454,6000.0,3,15.389,205.04,C,世界五百强,公共服务、社会组织,6 years,0,1,2015/2/1,0,226,21,23.18,0,670.0,781.6666667,16,0,0.0,11694.46154,65.58461538,1,0,Jun-95,0,1,12.0,0.0,0.0,18.0,10.0,0,661,66.1,0
6546,1040447,240447,13000.0,3,10.439,352.32,B,政府机构,金融业,2 years,0,1,2015/1/1,4,244,14,16.07727273,0,556.3636364,695.4545455,7,0,0.0,9965.0,67.3,0,0,6-May,4,1,2.0,0.0,4.0,5.0,4.0,3,72,21.6,0
6548,1049992,249992,11000.0,3,9.17,350.67,B,幼教与中小学校,文化和体育业,< 1 year,1,0,2015/8/1,4,242,8,11.60727273,0,618.1818182,721.2121212,8,1,1.0,5709.230769,29.5,0,0,Feb-98,4,1,3.0,0.0,3.0,16.0,7.0,0,0,0.0,0
6550,1021705,221705,12272.72727,3,9.17,478.19,B,上市企业,房地产业,1 year,1,0,2015/9/1,0,443,22,38.67272727,0,593.1818182,692.0454545,16,0,0.0,19460.76923,27.78461538,1,0,1-May,0,1,6.0,0.0,4.0,30.0,21.0,0,0,0.0,0
6552,1020238,220238,9454.545455,3,9.99,258.1,B,世界五百强,金融业,4 years,1,1,2015/6/1,0,17,13,6.850909091,0,564.5454545,705.6818182,5,3,0.0,8298.769231,39.84615385,0,0,3-Oct,0,1,3.0,0.0,2.0,20.0,19.0,3,1516,0.0,1
6553,1011057,211057,17909.09091,5,24.695,549.15,E,幼教与中小学校,批发和零售业,10+ years,2,1,2016/2/1,0,139,8,10.56272727,0,540.0,585.0,10,1,1.0,9609.230769,73.33846154,0,0,Aug-97,2,1,8.0,0.0,6.0,9.0,7.0,0,0,0.0,0
6556,1040083,240083,19636.36364,5,22.45,501.76,F,普通企业,金融业,2 years,0,2,2012/6/1,0,176,3,18.00909091,0,540.0,675.0,8,0,0.0,3998.076923,91.2,1,0,3-Mar,57540,1,,,,,,0,0,0.0,0
6557,1000269,200269,4527.272727,3,13.849,139.02,C,普通企业,公共服务、社会组织,9 years,0,0,2015/12/1,3,14,11,27.98181818,0,663.6363636,829.5454545,20,0,0.0,4018.153846,12.11538462,1,0,6-Sep,3,1,7.0,0.0,20.0,32.0,12.0,0,0,0.0,0
6558,1032800,232800,5909.090909,3,7.101,156.43,A,普通企业,农、林、牧、渔业,7 years,0,2,2016/6/1,5,286,16,8.386363636,0,856.3636364,1070.454545,7,0,0.0,5219.846154,13.56923077,0,0,1-Dec,6,1,2.0,0.0,4.0,9.0,7.0,0,2459,0.0,0
